                                                                                                                                                          HISTORY OF SALES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Customer;;;;;;;;;;;;;Report Date;1/06/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Item;;;;;;;;;;;;;User;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Salesrep;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Start Date;1/06/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
End Date;1/06/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sales Order #;Org Id;Warehouse Id;Year;Month;Invoice Number;Document Number;Invoice GL Date;Invoice Date;Customer Name;Cost Center;Major;Minor;Unique;Item (Product);Quantity Invoiced;U of M;Local Unit Selling Price;Local Sales Amount;Local Unit Cost;Local Fiscal Cost;Local Gross Profit;Gross Profit Margin %;USD Sales Amt;USD Cost of Goods;USD Gross Profit;USD Gross Profit Margin %;VAT;Slsrep Name;Customer #;Tran Type;Sales Order #;IBU;Group IBU;Sub IBU;Pack Code;Purchase Order Info;Item (Product) Code;REFERENCE;Dispatch Date;Dispatch Customer;Dispatch Cust Name;Dispatch Destination;Controlled Product;Currency;Exchange Rate Usd;Incoterm;Line Type;Quantity in KG;UoM Conversion;Transaction Date;Fiscal Number;;;
01-1-85485;623;;2022;9;01-1-85485;;29-sep-22;22-jun-22;Brenntag Mexico, S.A de C.V;1220;;;;Data Conversion Opening balance;1;;1.901,04;793.404,75;0;0;793.404,75;100%;38.836,80;0;38.836,80;100%;0%;OFICINA;1080495;BLA_CONVERSION_INV;01-1-85485;Intercompany;BLA;BLA Companies;;;;01-1-85485;;USAA8636;Brenntag Mexico, S.A de C.V;MEXICO;;USD;20,4292;;LINE;0;0;;??;;;
01-1-85503;623;;2022;9;01-1-85503;;29-sep-22;22-jun-22;SMITHS MEDICAL ASD, INC;1220;;;;Data Conversion Opening balance;1;;76,04;32.584,18;0;0;32.584,18;100%;1.574,10;0;1.574,10;100%;0%;Samantha Acevedo;1080757;BLA_CONVERSION_INV;01-1-85503;Polymers;Plastics;Injection moulding;;;;01-1-85503;;;SMITHS MEDICAL ASD, INC;IRELAND;;USD;20,7002;;LINE;0;0;;??;;;
01-1-85515;623;;2022;9;01-1-85515;;29-sep-22;23-jun-22;Brenntag Mexico, S.A de C.V;1220;;;;Data Conversion Opening balance;1;;1.885,28;800.038,08;0;0;800.038,08;100%;38.836,80;0;38.836,80;100%;0%;OFICINA;1080495;BLA_CONVERSION_INV;01-1-85515;Intercompany;BLA;BLA Companies;;;;01-1-85515;;USAA8636;Brenntag Mexico, S.A de C.V;MEXICO;;USD;20,6;;LINE;0;0;;??;;;
01-1-85522;623;;2022;9;01-1-85522;;29-sep-22;23-jun-22;Brenntag Mexico, S.A de C.V;1220;;;;Data Conversion Opening balance;1;;1.885,28;800.038,08;0;0;800.038,08;100%;38.836,80;0;38.836,80;100%;0%;OFICINA;1080495;BLA_CONVERSION_INV;01-1-85522;Intercompany;BLA;BLA Companies;;;;01-1-85522;;USAA8636;Brenntag Mexico, S.A de C.V;MEXICO;;USD;20,6;;LINE;0;0;;??;;;
01-1-85523;623;;2022;9;01-1-85523;;29-sep-22;23-jun-22;SIGMA INKS CORPORATION;1220;;;;Data Conversion Opening balance;1;;20,45;8.679,81;0;0;8.679,81;100%;422,35;0;422,35;100%;0%;Sofia Cruz;1080714;BLA_CONVERSION_INV;01-1-85523;ACES;Inks;Inks;;;;01-1-85523;;;SIGMA INKS CORPORATION;AMERICA;;USD;20,6;;LINE;0;0;;??;;;
01-1-85549;623;;2022;9;01-1-85549;;29-sep-22;24-jun-22;DJO, LLC;1220;;;;Data Conversion Opening balance;1;;713,07;301.754,82;0;0;301.754,82;100%;14.668,80;0;14.668,80;100%;0%;David Oceguera;1080736;BLA_CONVERSION_INV;01-1-85549;Polymers;Plastics;Injection moulding;;;;01-1-85549;;;DJO, LLC;AMERICA;;USD;20,5712;;LINE;0;0;;??;;;
01-1-85550;623;;2022;9;01-1-85550;;29-sep-22;24-jun-22;DJO, LLC;1220;;;;Data Conversion Opening balance;1;;713,07;301.754,82;0;0;301.754,82;100%;14.668,80;0;14.668,80;100%;0%;David Oceguera;1080736;BLA_CONVERSION_INV;01-1-85550;Polymers;Plastics;Injection moulding;;;;01-1-85550;;;DJO, LLC;AMERICA;;USD;20,5712;;LINE;0;0;;??;;;
01-1-85556;623;;2022;9;01-1-85556;;29-sep-22;25-jun-22;NANKAI MEXICO, SA DE CV;1220;;;;Data Conversion Opening balance;1;;14.030,53;14.030,53;0;0;14.030,53;100%;692,85;0;692,85;100%;0%;Arcelia Domínguez;1080682;BLA_CONVERSION_INV;01-1-85556;Automotive;Automotive Plastics;Plastic Interiors & Auto parts;;;;01-1-85556;;;NANKAI MEXICO, SA DE CV;MEXICO;;MXN;20,2505;;LINE;0;0;;??;;;
01-1-85564;623;;2022;9;01-1-85564;;29-sep-22;25-jun-22;VISHAY DALE ELECTRONICS INC;1220;;;;Data Conversion Opening balance;1;;28,83;11.822,85;0;0;11.822,85;100%;583,83;0;583,83;100%;0%;Christian Valdivia;1080691;BLA_CONVERSION_INV;01-1-85564;Multi-Industry (Others);Other;All Others;;;;01-1-85564;;;VISHAY DALE ELECTRONICS INC;AMERICA;;USD;20,2505;;LINE;0;0;;??;;;
01-1-85569;623;;2022;9;01-1-85569;;29-sep-22;25-jun-22;SUNPOWER CORPORATION MEXICO, S DE RL DE CV;1220;;;;Data Conversion Opening balance;1;;63,47;26.029,39;0;0;26.029,39;100%;1.285,37;0;1.285,37;100%;0%;Samantha Acevedo;1080569;BLA_CONVERSION_INV;01-1-85569;ACES;Adhesives/Sealants;Sealants;;;;01-1-85569;;;SUNPOWER CORPORATION MEXICO, S DE RL DE CV;MEXICO;;USD;20,2505;;LINE;0;0;;??;;;
01-1-85572;623;;2022;9;01-1-85572;;29-sep-22;25-jun-22;LAMKIN DE MEXICO, S.A. DE C.V.;1220;;;;Data Conversion Opening balance;1;;22.452,68;22.452,68;0;0;22.452,68;100%;1.108,75;0;1.108,75;100%;0%;Alfonso Suárez;1080794;BLA_CONVERSION_INV;01-1-85572;Polymers;Rubber;Rubber Others;;;;01-1-85572;;;LAMKIN DE MEXICO, S.A. DE C.V.;MEXICO;;MXN;20,2505;;LINE;0;0;;??;;;
01-1-85573;623;;2022;9;01-1-85573;;29-sep-22;28-jun-22;SUNPOWER CORPORATION MEXICO, S DE RL DE CV;1220;;;;Data Conversion Opening balance;1;;170,97;68.718,76;0;0;68.718,76;100%;3.427,66;0;3.427,66;100%;0%;Samantha Acevedo;1080569;BLA_CONVERSION_INV;01-1-85573;ACES;Adhesives/Sealants;Sealants;;;;01-1-85573;;;SUNPOWER CORPORATION MEXICO, S DE RL DE CV;MEXICO;;USD;20,0483;;LINE;0;0;;??;;;
01-1-85581;623;;2022;9;01-1-85581;;29-sep-22;28-jun-22;GARCIA AVITIA ALMA VERENICE;1220;;;;Data Conversion Opening balance;1;;88,79;35.685,97;0;0;35.685,97;100%;1.780,00;0;1.780,00;100%;0%;Arcelia Domínguez;1080531;BLA_CONVERSION_INV;01-1-85581;Multi-Industry (Others);Distributors;Chemical Distributors;;;;01-1-85581;;;GARCIA AVITIA ALMA VERENICE;MEXICO;;USD;20,0483;;LINE;0;0;;??;;;
01-1-85590;623;;2022;9;01-1-85590;;29-sep-22;28-jun-22;CARL ZEISS VISION INC.;1220;;;;Data Conversion Opening balance;1;;18,85;7.578,26;0;0;7.578,26;100%;378;0;378;100%;0%;David Oceguera;1080712;BLA_CONVERSION_INV;01-1-85590;Polymers;Plastics;Polymers Others;;;;01-1-85590;;;CARL ZEISS VISION INC.;AMERICA;;USD;20,0483;;LINE;0;0;;??;;;
01-1-85593;623;;2022;9;01-1-85593;;29-sep-22;28-jun-22;SMITHS MEDICAL ASD, INC;1220;;;;Data Conversion Opening balance;1;;78,52;31.558,03;0;0;31.558,03;100%;1.574,10;0;1.574,10;100%;0%;Samantha Acevedo;1080757;BLA_CONVERSION_INV;01-1-85593;Polymers;Plastics;Injection moulding;;;;01-1-85593;;;SMITHS MEDICAL ASD, INC;IRELAND;;USD;20,0483;;LINE;0;0;;??;;;
01-1-85607;623;;2022;9;01-1-85607;;29-sep-22;29-jun-22;HYUNDAI DE MEXICO, SA DE CV;1220;;;;Data Conversion Opening balance;1;;420;164.539,80;0;0;164.539,80;100%;8.313,03;0;8.313,03;100%;0%;David Oceguera;1080716;BLA_CONVERSION_INV;01-1-85607;Automotive;Tier 1;Automotive Purge & Dilution Solvents;;;;01-1-85607;;;HYUNDAI DE MEXICO, SA DE CV;MEXICO;;USD;19,793;;LINE;0;0;;??;;;
01-1-85639;623;;2022;9;01-1-85639;;29-sep-22;1-jul-22;PARKER INDUSTRIAL, S DE RL DE CV;1220;;;;Data Conversion Opening balance;1;;152,52;59.888,40;0;0;59.888,40;100%;3.022,27;0;3.022,27;100%;0%;David Oceguera;1080568;BLA_CONVERSION_INV;01-1-85639;Polymers;Plastics;Injection moulding;;;;01-1-85639;;;PARKER INDUSTRIAL, S DE RL DE CV;MEXICO;;USD;19,8157;;LINE;0;0;;??;;;
01-1-85652;623;;2022;9;01-1-85652;;29-sep-22;1-jul-22;SIGMA INKS CORPORATION;1220;;;;Data Conversion Opening balance;1;;17,26;6.776,97;0;0;6.776,97;100%;342;0;342;100%;0%;Sofia Cruz;1080714;BLA_CONVERSION_INV;01-1-85652;ACES;Inks;Inks;;;;01-1-85652;;;SIGMA INKS CORPORATION;AMERICA;;USD;19,8157;;LINE;0;0;;??;;;
