                                                                                                                                                          HISTORY OF SALES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Customer;;;;;;;;;;;;;Report Date;10/06/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Item;;;;;;;;;;;;;User;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IBU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Salesrep;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Start Date;1/06/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
End Date;10/06/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sales Order #;Org Id;Warehouse Id;Year;Month;Invoice Number;Document Number;Invoice GL Date;Invoice Date;Customer Name;Cost Center;Major;Minor;Unique;Item (Product);Quantity Invoiced;U of M;Local Unit Selling Price;Local Sales Amount;Local Unit Cost;Local Fiscal Cost;Local Gross Profit;Gross Profit Margin %;USD Sales Amt;USD Cost of Goods;USD Gross Profit;USD Gross Profit Margin %;VAT;Slsrep Name;Customer #;Tran Type;Sales Order #;IBU;Group IBU;Sub IBU;Pack Code;Purchase Order Info;Item (Product) Code;REFERENCE;Dispatch Date;Dispatch Customer;Dispatch Cust Name;Dispatch Destination;Controlled Product;Currency;Exchange Rate Usd;Incoterm;Line Type;Quantity in KG;UoM Conversion;Transaction Date;Fiscal Number;;;
10-1-24090;604;;2022;9;10-1-24090;;29-sep-22;18-jun-22;ADITIVOS PARA PAPEL QUIMICA SA DE CV;1220;;;;Data Conversion Opening balance;1;;3.606,86;1.451.238,13;0;0;1.451.238,13;100%;72.349,20;0;72.349,20;100%;0%;Marco Montes;1084239;BLA_CONVERSION_INV;10-1-24090;Water Treatement / Pulp & Paper;Pulp & Paper;Pulp & Paper;;;;10-1-24090;;;ADITIVOS PARA PAPEL QUIMICA SA DE CV;MEXICO;;USD;20,0588;;LINE;0;0;;??;;;
10-1-24092;604;;2022;9;10-1-24092;;29-sep-22;22-jun-22;HENKEL CAPITAL SA DE CV;1220;;;;Data Conversion Opening balance;1;;91,87;38.343,16;0;0;38.343,16;100%;1.876,88;0;1.876,88;100%;0%;Diana Cruz;1083818;BLA_CONVERSION_INV;10-1-24092;ACES;Adhesives/Sealants;Adhesives;;;;10-1-24092;;;HENKEL CAPITAL SA DE CV;MEXICO;;USD;20,4292;;LINE;0;0;;??;;;
10-1-24096;604;;2022;9;10-1-24096;;29-sep-22;22-jun-22;PROTEINAS ESPECIALES,SA DE CV;1220;;;;Data Conversion Opening balance;1;;278,23;116.119,57;0;0;116.119,57;100%;5.684,00;0;5.684,00;100%;0%;César Martínez;1084207;BLA_CONVERSION_INV;10-1-24096;Food & Nutrition;DAIRY & ICE CREAM;DAIRY INGREDIENTS;;;;10-1-24096;;;PROTEINAS ESPECIALES,SA DE CV;MEXICO;;USD;20,4292;;LINE;0;0;;??;;;
10-1-24105;604;;2022;9;10-1-24105;;29-sep-22;22-jun-22;BONAFONT SA DE C V;1220;;;;Data Conversion Opening balance;1;;80,13;34.337,49;0;0;34.337,49;100%;1.658,80;0;1.658,80;100%;0%;Angelina Araujo;1084434;BLA_CONVERSION_INV;10-1-24105;Food & Nutrition;BEVERAGES;NON-ALCOHOLIC BEVERAGES;;;;10-1-24105;;;BONAFONT SA DE C V;MEXICO;;USD;20,7002;;LINE;0;0;;??;;;
10-1-24119;604;;2022;9;10-1-24119;;29-sep-22;24-jun-22;INDUSTRIAS ALIMENTICIAS FABP SA DE CV;1220;;;;Data Conversion Opening balance;1;;2.450,03;1.036.788,48;0;0;1.036.788,48;100%;50.400,00;0;50.400,00;100%;0%;Angelina Araujo;1083738;BLA_CONVERSION_INV;10-1-24119;Food & Nutrition;INGREDIENT PRODUCER;BLENDERS OTHERS;;;;10-1-24119;;;INDUSTRIAS ALIMENTICIAS FABP SA DE CV;MEXICO;;USD;20,5712;;LINE;0;0;;??;;;
10-1-24125;604;;2022;9;10-1-24125;;29-sep-22;25-jun-22;HENKEL CAPITAL SA DE CV;1220;;;;Data Conversion Opening balance;1;;186,97;76.673,25;0;0;76.673,25;100%;3.786,24;0;3.786,24;100%;0%;Diana Cruz;1083818;BLA_CONVERSION_INV;10-1-24125;ACES;Adhesives/Sealants;Adhesives;;;;10-1-24125;;;HENKEL CAPITAL SA DE CV;MEXICO;;USD;20,2505;;LINE;0;0;;??;;;
10-1-24127;604;;2022;9;10-1-24127;;29-sep-22;25-jun-22;COMERCIALIZADORA DE LACTEOS Y DERIVADOS SA DE CV;1220;;;;Data Conversion Opening balance;1;;37,62;15.428,86;0;0;15.428,86;100%;761,9;0;761,9;100%;0%;Angelina Araujo;1083827;BLA_CONVERSION_INV;10-1-24127;Food & Nutrition;DAIRY & ICE CREAM;DAIRY CONSUMER PRODUCTS;;;;10-1-24127;;;COMERCIALIZADORA DE LACTEOS Y DERIVADOS SA DE CV;MEXICO;;USD;20,2505;;LINE;0;0;;??;;;
10-1-24136;604;;2022;9;10-1-24136;;29-sep-22;29-jun-22;MONDELEZ MEXICO, S DE RL DE CV;1220;;;;Data Conversion Opening balance;1;;236,63;92.702,89;0;0;92.702,89;100%;4.683,62;0;4.683,62;100%;0%;Jorge Carranza;1084449;BLA_CONVERSION_INV;10-1-24136;Food & Nutrition;BEVERAGES;NON-ALCOHOLIC BEVERAGES;;;;10-1-24136;;;MONDELEZ MEXICO, S DE RL DE CV;MEXICO;;USD;19,793;;LINE;0;0;;??;;;
10-1-24137;604;;2022;9;10-1-24137;;29-sep-22;29-jun-22;GCC CEMENTO SA DE CV;1220;;;;Data Conversion Opening balance;1;;22,22;8.701,79;0;0;8.701,79;100%;439,64;0;439,64;100%;0%;Sandra López;1083745;BLA_CONVERSION_INV;10-1-24137;ACES;Construction;Cement-based products;;;;10-1-24137;;;GCC CEMENTO SA DE CV;MEXICO;;USD;19,793;;LINE;0;0;;??;;;
10-1-24159;604;;2022;9;10-1-24159;;29-sep-22;1-jul-22;MANANTIALES PEÑAFIEL, S.A. DE C.V.;1220;;;;Data Conversion Opening balance;1;;1.122,00;440.172,68;0;0;440.172,68;100%;22.223,33;0;22.223,33;100%;0%;Hector Avila;1083317;BLA_CONVERSION_INV;10-1-24159;Food & Nutrition;BEVERAGES;NON-ALCOHOLIC BEVERAGES;;;;10-1-24159;;;MANANTIALES PEÑAFIEL, S.A. DE C.V.;MEXICO;;USD;19,8157;;LINE;0;0;;??;;;
10-1-24186;604;;2022;9;10-1-24186;;29-sep-22;5-jul-22;UNILEVER MANUFACTURERA, S DE RL DE CV;1220;;;;Data Conversion Opening balance;1;;264,86;106.335,30;0;0;106.335,30;100%;5.307,00;0;5.307,00;100%;0%;María Sánchez;1084313;BLA_CONVERSION_INV;10-1-24186;Care;Personal Care;Personal Care;;;;10-1-24186;;;UNILEVER MANUFACTURERA, S DE RL DE CV;MEXICO;;USD;20,0368;;LINE;0;0;;??;;;
10-1-24188;604;;2022;9;10-1-24188;;29-sep-22;5-jul-22;MANANTIALES PEÑAFIEL, S.A. DE C.V.;1220;;;;Data Conversion Opening balance;1;;475,65;190.961,92;0;0;190.961,92;100%;9.530,56;0;9.530,56;100%;0%;Hector Avila;1083317;BLA_CONVERSION_INV;10-1-24188;Food & Nutrition;BEVERAGES;NON-ALCOHOLIC BEVERAGES;;;;10-1-24188;;;MANANTIALES PEÑAFIEL, S.A. DE C.V.;MEXICO;;USD;20,0368;;LINE;0;0;;??;;;
10-1-24190;604;;2022;9;10-1-24190;;29-sep-22;5-jul-22;MONDELEZ MEXICO, S DE RL DE CV;1220;;;;Data Conversion Opening balance;1;;261,9;105.144,31;0;0;105.144,31;100%;5.247,56;0;5.247,56;100%;0%;Jorge Carranza;1084449;BLA_CONVERSION_INV;10-1-24190;Food & Nutrition;BEVERAGES;NON-ALCOHOLIC BEVERAGES;;;;10-1-24190;;;MONDELEZ MEXICO, S DE RL DE CV;MEXICO;;USD;20,0368;;LINE;0;0;;??;;;
10-1-24191;604;;2022;9;10-1-24191;;29-sep-22;5-jul-22;BCPE DIAMOND MEXICO HOLDCO S DE RL DE CV;1220;;;;Data Conversion Opening balance;1;;98,41;39.507,36;0;0;39.507,36;100%;1.971,74;0;1.971,74;100%;0%;María Sánchez;1083977;BLA_CONVERSION_INV;10-1-24191;Care;Personal Care;Personal Care;;;;10-1-24191;;;BCPE DIAMOND MEXICO HOLDCO S DE RL DE CV;MEXICO;;USD;20,0368;;LINE;0;0;;??;;;
